visit_id;user_id;event_id;visit_date;next_visit_date
1;1;1;2023-10-02;2024-02-03
2;2;2;2023-10-03;2024-02-04
3;3;3;2023-10-04;2024-02-05
4;4;4;2023-10-05;2024-02-06
5;5;5;2023-10-06;2024-02-07
6;6;6;2023-10-07;2024-02-08
7;7;7;2023-10-08;2024-02-09
8;8;8;2023-10-09;2024-02-10
9;9;9;2023-10-10;2024-02-11
10;10;10;2023-10-11;2024-02-12
11;11;11;2023-10-12;2024-02-13
12;12;12;2023-10-13;2024-02-14
13;13;13;2023-10-14;2024-02-15
14;14;14;2023-10-15;2024-02-16
15;15;15;2023-10-16;2024-02-17
16;16;16;2023-10-17;2024-02-18
17;17;17;2023-10-18;2024-02-19
18;18;18;2023-10-19;2024-02-20
19;19;19;2023-10-20;2024-02-21
20;20;20;2023-10-21;2024-02-22
21;21;21;2023-10-22;2024-02-23
22;22;22;2023-10-23;2024-02-24
23;23;23;2023-10-24;2024-02-25
24;24;24;2023-10-25;2024-02-26
25;25;25;2023-10-26;2024-02-27
26;26;26;2023-10-27;2024-02-28
27;27;27;2023-10-28;2024-02-29
28;28;28;2023-10-29;2024-03-01
29;29;29;2023-10-30;2024-03-02
30;30;30;2023-10-31;2024-03-03
31;31;31;2023-11-01;2024-03-04
32;32;32;2023-11-02;2024-03-05
33;33;33;2023-11-03;2024-03-06
34;34;34;2023-11-04;2024-03-07
35;35;35;2023-11-05;2024-03-08
36;36;36;2023-11-06;2024-03-09
37;37;37;2023-11-07;2024-03-10
38;38;38;2023-11-08;2024-03-11
39;39;39;2023-11-09;2024-03-12
40;40;40;2023-11-10;2024-03-13
41;41;41;2023-11-11;2024-03-14
42;42;42;2023-11-12;2024-03-15
43;43;43;2023-11-13;2024-03-16
44;44;44;2023-11-14;2024-03-17
45;45;45;2023-11-15;2024-03-18
46;46;46;2023-11-16;2024-03-19
47;47;47;2023-11-17;2024-03-20
48;48;48;2023-11-18;2024-03-21
49;49;49;2023-11-19;2024-03-22
50;50;50;2023-11-20;2024-03-23
51;51;51;2023-11-21;2024-03-24
52;52;52;2023-11-22;2024-03-25
53;53;53;2023-11-23;2024-03-26
54;54;54;2023-11-24;2024-03-27
55;55;55;2023-11-25;2024-03-28
56;56;56;2023-11-26;2024-03-29
57;57;57;2023-11-27;2024-03-30
58;58;58;2023-11-28;2024-03-31
59;59;59;2023-11-29;2024-04-01
60;60;60;2023-11-30;2024-04-02
61;61;61;2023-12-01;2024-04-03
62;62;62;2023-12-02;2024-04-04
63;63;63;2023-12-03;2024-04-05
64;64;64;2023-12-04;2024-04-06
65;65;65;2023-12-05;2024-04-07
66;66;66;2023-12-06;2024-04-08
67;67;67;2023-12-07;2024-04-09
68;68;68;2023-12-08;2024-04-10
69;69;69;2023-12-09;2024-04-11
70;70;70;2023-12-10;2024-04-12
71;71;71;2023-12-11;2024-04-13
72;72;72;2023-12-12;2024-04-14
73;73;73;2023-12-13;2024-04-15
74;74;74;2023-12-14;2024-04-16
75;75;75;2023-12-15;2024-04-17
76;76;76;2023-12-16;2024-04-18
77;77;77;2023-12-17;2024-04-19
78;78;78;2023-12-18;2024-04-20
79;79;79;2023-12-19;2024-04-21
80;80;80;2023-12-20;2024-04-22
81;81;81;2023-12-21;2024-04-23
82;82;82;2023-12-22;2024-04-24
83;83;83;2023-12-23;2024-04-25
84;84;84;2023-12-24;2024-04-26
85;85;85;2023-12-25;2024-04-27
86;86;86;2023-12-26;2024-04-28
87;87;87;2023-12-27;2024-04-29
88;88;88;2023-12-28;2024-04-30
89;89;89;2023-12-29;2024-05-01
90;90;90;2023-12-30;2024-05-02
91;91;91;2023-12-31;2024-05-03
92;92;92;2024-01-01;2024-05-04
93;93;93;2024-01-02;2024-05-05
94;94;94;2024-01-03;2024-05-06
95;95;95;2024-01-04;2024-05-07
96;96;96;2024-01-05;2024-05-08
97;97;97;2024-01-06;2024-05-09
98;98;98;2024-01-07;2024-05-10
99;99;99;2024-01-08;2024-05-11
100;100;100;2024-01-09;2024-05-12
